Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,,HazeldeanåRoad,Hazeldean Road,
2011,,HeartlandsåHospital,Heartlands Hospital,
2011,,HeartlandsåHospital,Heartlands Hospital,
2011,,HeartlandsåHospitalåAå&åE.,Heartlands Hospital A & E.,
2011,,HeartlandsåHospitalåAå&åE.,Heartlands Hospital A & E.,
2011,,heartlandsåhospitalåAå&åE.,heartlands hospital A & E.,
2011,,HepbenåGrove,Hepben Grove,
2011,,HerrickåRoad,Herrick Road,
2011,," HerrickåRoad,åWashwoodåHeath"," Herrick Road, Washwood Heath",
2011,," HerrickåRoad,åWashwoodåHeath"," Herrick Road, Washwood Heath",
2011,,HighåStåSolihull,High St Solihull,
2011,,HIGHåSTREETåKINGSåHEATH,HIGH STREET KINGS HEATH,
2011,,HighåStreetåKingsåHeath,High Street Kings Heath,
2011,," highåstreet,åkingsåheath"," high street, kings heath",
2011,,HobåMooråRoadåatåStarbankåRoad,Hob Moor Road at Starbank Road,
2011,,HollowayåheadåBhamåCityåcentre,Holloway head Bham City centre,
2011,,HollywellåRoad,Hollywell Road,
2011,,homeåaddress,home address,
2011,,HomeåAddress,Home Address,
2011,,Homeråstreet,Homer street,
2011,,HuntersåMoonåPublicåhouse.,Hunters Moon Public house.,
2011,,HurståStreet,Hurst Street,
2011,,HurståStreet,Hurst Street,
2011,,HurståStreet,Hurst Street,
2011,," HurståStreet,åBirmingham"," Hurst Street, Birmingham",
2011,,KingsåHeathåHighåStreet,Kings Heath High Street,
2011,," KNOWLEåRD,åSMALLåHEATH,åBHAM"," KNOWLE RD, SMALL HEATH, BHAM",
2011,,ladypoolåRoad,ladypool Road,
2011,,ladypoolåRoad,ladypool Road,
2011,,LadywellåWalk,Ladywell Walk,
2011,,LeaåHallåRD,Lea Hall RD,
2011,,LeaåHallård,Lea Hall rd,
2011,," LeaåVillage,åStechford"," Lea Village, Stechford",
2011,," LenchesåClose,åMosley"," Lenches Close, Mosley",
2011,,LimeåTreeåRoad,Lime Tree Road,
2011,,LodeåLaneå@åHermitageåRoad,Lode Lane @ Hermitage Road,
2011,,Longåstreet,Long street,
2011,,LongåStreet.åSparkhill,Long Street. Sparkhill,
2011,,LongbridgeåLane,Longbridge Lane,
2011,," LONGMEADOWåCRESCENTåSHARDåENDå,åBHAM"," LONGMEADOW CRESCENT SHARD END , BHAM",
2011,,MaccadownåLane,Maccadown Lane,
2011,,masshouseålane,masshouse lane,
2011,,MeadwaymåStechford,Meadwaym Stechford,
2011,," MickleoveråRoad,åBromford"," Mickleover Road, Bromford",
2011,,moorcroftåroad,moorcroft road,
2011,,MoseleyåRoad,Moseley Road,
2011,,moseleyåroad,moseley road,
2011,,moseleyåroad,moseley road,
2011,,moseleyåroad,moseley road,
2011,,MoseleyåVillage,Moseley Village,
2011,,MoseleyåVillage,Moseley Village,
2011,," MoseleyåVillage,åAlcesteråroad"," Moseley Village, Alcester road",
2011,," MosleyåAllåServicesåClub,åChurchåRoad,åMoseley."," Mosley All Services Club, Church Road, Moseley.",
2011,,NearlandsåCloseåQuinton,Nearlands Close Quinton,
2011,,newåstreet,new street,
2011,,NorthfieldåHighåStreet,Northfield High Street,
2011,," O/SåBEHANS,åHIGHFIELDåROAD,åBILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",
2011,," O/SåTheåjunction,åMosleyåVillage"," O/S The junction, Mosley Village",
2011,,O/SåWashwoodåHeathåroad,O/S Washwood Heath road,
2011,," OakhillåRoad,åAcocksåGreen"," Oakhill Road, Acocks Green",
2011,,Oppåwhiteåhartålaneåcooksålane,Opp white hart lane cooks lane,
2011,," Opposite,åALDI,åStratfordåRoad"," Opposite, ALDI, Stratford Road",
2011,,OutsideåJavaåloungeåAlcesteråRoad,Outside Java lounge Alcester Road,
2011,,OutsideåO2åAcademyåNightåClubåB'hamåCityåCentre,Outside O2 Academy Night Club B'ham City Centre,
2011,,outsideåravenåpublicåhouse,outside raven public house,
2011,," PackingtonåAvenue,åShardåEnd"," Packington Avenue, Shard End",
2011,,parkåoffåhobåmooråroad,park off hob moor road,
2011,,ParkhallåCroft,Parkhall Croft,
2011,,PearåTreeåPH,Pear Tree PH,
2011,,Policeåstation,Police station,
2011,,PoliceåStationåStechford,Police Station Stechford,
2011,,poplaråroad,poplar road,
2011,,Poplaråroad,Poplar road,
2011,," poplaråroadå,åsolihull"," poplar road , solihull",
2011,," poplaråroad,åsolihull"," poplar road, solihull",
2011,,PrestonåRoad,Preston Road,
2011,," PrioryåRoad,åHallåGreen"," Priory Road, Hall Green",
2011,,prospectåroad,prospect road,
2011,,queenswoodåroad,queenswood road,
2011,," rearåofåboots,åhighåstreet"," rear of boots, high street",
2011,," REDDINGSåLANE,åTSYLEY"," REDDINGS LANE, TSYLEY",
2011,," RichmondåPrimaryåCareåCentre,åRichmondåRoad,åStechford"," Richmond Primary Care Centre, Richmond Road, Stechford",
2011,," ringåroad,åstourbridge"," ring road, stourbridge",
2011,," sainsburys,åwawrickåroad"," sainsburys, wawrick road",
2011,,sainsburys.åalcesteråroadåsouth,sainsburys. alcester road south,
2011,,SandfordåRoadåMoseley,Sandford Road Moseley,
2011,,SareholeåMill,Sarehole Mill,
2011,,SedgemereåRoad,Sedgemere Road,
2011,,ShirleyåRoad,Shirley Road,
2011,,SHirleyåRoad,SHirley Road,
2011,,SnowåHill,Snow Hill,
2011,,SolihullåLane,Solihull Lane,
2011,," StåMary'såRoad,åMoseley"," St Mary's Road, Moseley",
2011,,StåMarysåRow,St Marys Row,
2011,,stationåroad,station road,
2011,," StationåWay,åBirminghamåInternationalårailåStation"," Station Way, Birmingham International rail Station",
2011,,Stechfordåfrontåoffice,Stechford front office,
2011,,StechfordåP.S.,Stechford P.S.,
2011,,StechfordåRetailåPark.,Stechford Retail Park.,
2011,,StonehengeåcroftåDruidsåheath,Stonehenge croft Druids heath,
2011,,StoneyåLane,Stoney Lane,
2011,,StoneyåLane,Stoney Lane,
2011,,stoneyålane,stoney lane,
2011,," STRATFORDåHEATH,åSPARKåHILL,åBIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM",
2011,,stratfordåroad,stratford road,
2011,,Stratfordåroad,Stratford road,
2011,,StratfordåRoad,Stratford Road,
2011,," stratfordåroad,åhallågreen"," stratford road, hall green",
2011,,stratfordåroads,stratford roads,
2011,," StuartåRoad,åStechford"," Stuart Road, Stechford",
2011,,talbortåstreet,talbort street,
2011,,TauntonåRoad,Taunton Road,
2011,,Tavistockåroad,Tavistock road,
2011,,Theåavenue,The avenue,
2011,,Theåpaeråtreeåpub,The paer tree pub,
2011,,TrafalgeråRoad,Trafalger Road,
2011,,WakeågreenåRoad,Wake green Road,
2011,,WardåEndåRoad,Ward End Road,
2011,,WarwickåRoad,Warwick Road,
2011,,WarwickåRoad,Warwick Road,
2011,,WarwickåRoad,Warwick Road,
2011,,WarwickåRoad,Warwick Road,
2011,,WarwickåRoad,Warwick Road,
2011,,WarwickåRoadåTysley,Warwick Road Tysley,
2011,,Washålane,Wash lane,
2011,,WashfordåHeathåRoad,Washford Heath Road,
2011,,WashwoodåHeathåpub,Washwood Heath pub,
2011,," WASHWOODåHEATHåRD,åWASHWOODåHEATH,åBHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",
2011,,WashwoodåHeathåroad,Washwood Heath road,
2011,,WashwoodåHeathåRoad,Washwood Heath Road,
2011,,WashwoodåHeathåRoad,Washwood Heath Road,
2011,,WashwoodåHeathåRoad,Washwood Heath Road,
2011,," WateryåLaneåMiddleway,åBirmingham"," Watery Lane Middleway, Birmingham",
2011,,wawrickåroad,wawrick road,
2011,," WelshfarmåRoad,åQuinton"," Welshfarm Road, Quinton",
2011,,WestleyåRoad,Westley Road,
2011,," WestleyåRoad,åAcocksåGreen"," Westley Road, Acocks Green",
2011,,WhiteåHartåPublicåHouse,White Hart Public House,
2011,,WhiteåHartåPublicåHouse,White Hart Public House,
2011,," Whiteheartåpub,åGressellåLane"," Whiteheart pub, Gressell Lane",
2011,," WilliamåHillåBookmakers,åWashwoodåHeathåRoad"," William Hill Bookmakers, Washwood Heath Road",
2011,," WilliamåHillåBookmakers,åWashwoodåHeathåRoad"," William Hill Bookmakers, Washwood Heath Road",
2011,,WilliamåHillåWashwoodåHeathåRoad,William Hill Washwood Heath Road,
2011,,WindwardåRoad,Windward Road,
2011,,WindwardåRoad,Windward Road,
2011,," WoodåEndåRoad,åErdington"," Wood End Road, Erdington",
2011,," Woodbridgeåroad,åmoseley"," Woodbridge road, moseley",
2011,,WrightåStreet,Wright Street,
2011,,yardleyågreenåroad,yardley green road,
2011,,yardleyåroadåacocksågreen,yardley road acocks green,
2011,,YardleyåWoodåRoad,Yardley Wood Road,
2011,,YardleyåWoodåRoad,Yardley Wood Road,
2011,,YewåTreeåcaråpark,Yew Tree car park,
2011,,YewåTreeåLane,Yew Tree Lane,
2011,,YewåTreeåpublicåhouseåcaråpark.,Yew Tree public house car park.,
2011,," ArmadaåPub,åSladeåRoad,åErdington,åBirmingham"," Armada Pub, Slade Road, Erdington, Birmingham",
2011,," ArmardaåPub,ååGravellyåHill"," Armarda Pub,  Gravelly Hill",
2011,," ArmardaåPub,åGravellyåHill"," Armarda Pub, Gravelly Hill",
2011,,BADGERSåBANKåROAD,BADGERS BANK ROAD,
2011,," BaldmooråLakeåRoad,åErdington,åBirmingham."," Baldmoor Lake Road, Erdington, Birmingham.",
2011,," bandywoodåRd,åkingstanding"," bandywood Rd, kingstanding",
2011,,BeckenhamåRoad,Beckenham Road,
2011,,BeechesåWalk,Beeches Walk,
2011,,BIRMINGHAMåRD,BIRMINGHAM RD,
2011,,BIRMINGHAMåRD,BIRMINGHAM RD,
2011,," BirminghamåRd,åSC"," Birmingham Rd, SC",
2011,,BirminghamåRoad,Birmingham Road,
2011,,BirminghamåRoad,Birmingham Road,
2011,,birminghamåroadåsutton,birmingham road sutton,
2011,," BirminghamåRoad,åErdington"," Birmingham Road, Erdington",
2011,," BirminghamåRoad,åSuttonåColdfield"," Birmingham Road, Sutton Coldfield",
2011,," BirminghamåRoad,åSuttonåColdfield"," Birmingham Road, Sutton Coldfield",
2011,,BOWLINGåGREENåCLOSE,BOWLING GREEN CLOSE,
2011,," BracebridgeåRoad,åErdington"," Bracebridge Road, Erdington",
2011,,brassingtonåavenue,brassington avenue,
2011,,BromfordåLane,Bromford Lane,
2011,," BromfordåLane,åErdington,åB'ham"," Bromford Lane, Erdington, B'ham",
2011,,BrookvaleåparkåRoad,Brookvale park Road,
2011,," CarhamptonåRoad,åFalconåLodge,åSuttonåColfield"," Carhampton Road, Falcon Lodge, Sutton Colfield",
2011,,CarshaltonåRoad,Carshalton Road,
2011,,carshorltonåRoad,carshorlton Road,
2011,,chesterård,chester rd,
2011,,CHESTERåROAD,CHESTER ROAD,
2011,," ChesteråRoad,åHallsågardenåCentre"," Chester Road, Halls garden Centre",
2011,,CHURCHåRDåATåCHESTERåRD,CHURCH RD AT CHESTER RD,
2011,," CollegeåRoad,åKingstanding,åB'ham"," College Road, Kingstanding, B'ham",
2011,," CollegeåRoad,åKingstanding,åB'ham"," College Road, Kingstanding, B'ham",
2011,," CopshillåCourt,åMountåView,åSuttonåColdfield"," Copshill Court, Mount View, Sutton Coldfield",
2011,," DovedaleåRoad,åErdington,åB'ham"," Dovedale Road, Erdington, B'ham",
2011,," DownsideåRoad,åErdington,åB'ham"," Downside Road, Erdington, B'ham",
2011,," EachelhurtåRoad,åErdington"," Eachelhurt Road, Erdington",
2011,,ERDINGTONåHALLåROAD,ERDINGTON HALL ROAD,
2011,,ERDINGTONåHALLåROAD,ERDINGTON HALL ROAD,
2011,,ErdingtonåHighåStreet,Erdington High Street,
2011,," FenthamåRoad,åErdington,åB'ham"," Fentham Road, Erdington, B'ham",
2011,,FINCHLEYåROAD,FINCHLEY ROAD,
2011,," FinchleyåRoad,åKingstanding,åB'ham"," Finchley Road, Kingstanding, B'ham",
2011,,GEORGEåFREDERICKåROAD,GEORGE FREDERICK ROAD,
2011,,GoldenåPondåtakeåawayåÛåBoldmereåRoad,Golden Pond take away Û Boldmere Road,
2011,,goodåhopeåhospital,good hope hospital,
2011,,GracechurchåCentre,Gracechurch Centre,
2011,," Gracechurchåcentre,åoutsideåSupercigs"," Gracechurch centre, outside Supercigs",
2011,," GraceChurchåShoppingåCentre,åSuttonåColdfield"," GraceChurch Shopping Centre, Sutton Coldfield",
2011,," grassedåareaå,åpypeåhayesåpark...."," grassed area , pype hayes park....",
2011,,Gravelleyålane,Gravelley lane,
2011,,Gravelleyålane,Gravelley lane,
2011,,Gravelleyålane,Gravelley lane,
2011,," GravellyåLane,åErdington,åBirmingham"," Gravelly Lane, Erdington, Birmingham",
2011,,hairyålemonåpubå.suttonåcoldfield,hairy lemon pub .sutton coldfield,
2011,,hairyålemonåpubå.suttonåcoldfield,hairy lemon pub .sutton coldfield,
2011,,HermatigeåRoad,Hermatige Road,
2011,,HermatigeåRoad,Hermatige Road,
2011,,HERMITAGEåDRIVE,HERMITAGE DRIVE,
2011,,HighåStreet,High Street,
2011,,highåstreetåerdington,high street erdington,
2011,," highåstreet,åerdington"," high street, erdington",
2011,," HighåStreet,åErdington"," High Street, Erdington",
2011,," HighåStreet,åS/C"," High Street, S/C",
2011,," HighåStreet,åS/C"," High Street, S/C",
2011,,HightåStåErdINGTON,Hight St ErdINGTON,
2011,,HUNTONåHILL,HUNTON HILL,
2011,," KFCåretailåoutletå,åErdingtonåHighåstreet"," KFC retail outlet , Erdington High street",
2011,," KingsburyåRoad,åErdington,åB'ham"," Kingsbury Road, Erdington, B'ham",
2011,,KingstandingåCircle,Kingstanding Circle,
2011,," LadywellåWalk,åBirmingham"," Ladywell Walk, Birmingham",
2011,,LandsdownåRoad,Landsdown Road,
2011,," LICHFIELDåROAD,åMEREåGREEN"," LICHFIELD ROAD, MERE GREEN",
2011,," LICHFIELDåROAD,åSUTTONåCOLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD",
2011,," LindridgeåRoad,åSuttonåColdfield"," Lindridge Road, Sutton Coldfield",
2011,,littleåastonålane,little aston lane,
2011,,LONGFORDåROAD,LONGFORD ROAD,
2011,," LongfordåRoad,åKingstanding,åB'ham"," Longford Road, Kingstanding, B'ham",
2011,,loweråparade,lower parade,
2011,,LOWERåPARADE,LOWER PARADE,
2011,,loweråparade,lower parade,
2011,,loweråparade,lower parade,
2011,,loweråparade,lower parade,
2011,,loweråparade,lower parade,
2011,,LOWERåPARADE,LOWER PARADE,
2011,,LoweråParade,Lower Parade,
2011,,LoweråParade,Lower Parade,
2011,,LOWERåPARADE,LOWER PARADE,
2011,,LoweråParade,Lower Parade,
2011,,LOWERåPARADE,LOWER PARADE,
2011,,LoweråParade,Lower Parade,
2011,,LOWERåPARADE,LOWER PARADE,
2011,,LOWERåPARADE,LOWER PARADE,
2011,,LoweråParade,Lower Parade,
2011,,LoweråParade,Lower Parade,
2011,,LoweråParade,Lower Parade,
2011,,LOWERåPARADE,LOWER PARADE,
2011,,loweråparadeåSC,lower parade SC,
2011,,LOWERåPARADEåSUTTON,LOWER PARADE SUTTON,
2011,,LoweråParadeåSuttonåColdfield,Lower Parade Sutton Coldfield,
2011,," loweråparade,"," lower parade,",
2011,," Loweråparade,åSutonåColdfield"," Lower parade, Suton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," loweråparade,åsuttonåcoldfield"," lower parade, sutton coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfield"," Lower Parade, Sutton Coldfield",
2011,," LoweråParade,åSuttonåColdfieldåtownåcentre"," Lower Parade, Sutton Coldfield town centre",
2011,," LoweråParade,åSuttonåColdfieldåtownåCentre"," Lower Parade, Sutton Coldfield town Centre",
2011,," LoweråParade,åSuttonåColdfield."," Lower Parade, Sutton Coldfield.",
2011,,lydhamåclose,lydham close,
2011,,MillåStreet,Mill Street,
2011,," MillåStreet,åSuttonåColdfield"," Mill Street, Sutton Coldfield",
2011,,mooråhallåhotel,moor hall hotel,
2011,," MulberryåCourtåCarpark,åKingsåRoad,åKingstanding,åBirmingham"," Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham",
2011,,newhallåwalkåcaråpark,newhall walk car park,
2011,,newhallåwalkåcaråpark,newhall walk car park,
2011,,O/SåH/A,O/S H/A,
2011,,O/såLittenåTree,O/s Litten Tree,
2011,," O/SåLittenåTree,åS/CåTownåCentre"," O/S Litten Tree, S/C Town Centre",
2011,," O/SåMooMooåBar,åS/cåTownåCentre"," O/S MooMoo Bar, S/c Town Centre",
2011,," o/såmoomooåbar,åSouthåparade"," o/s moomoo bar, South parade",
2011,,o/såretro,o/s retro,
2011,," O/SåRetroå,åSouthåparade"," O/S Retro , South parade",
2011,,O/SåRetros,O/S Retros,
2011,," O/SåRoyalåHotel,åLichfieldåRoad"," O/S Royal Hotel, Lichfield Road",
2011,,o/såtempleåbar,o/s temple bar,
2011,,O/SåTempleåBar,O/S Temple Bar,
2011,," O/SåTempleåBar,åHighåStreet"," O/S Temple Bar, High Street",
2011,," O/såTempleåBar,åLoweråParadeåSuttonåColdfield."," O/s Temple Bar, Lower Parade Sutton Coldfield.",
2011,," O/SåTempleåBar,åS/CåTownåCentre"," O/S Temple Bar, S/C Town Centre",
2011,," o/såtempleåbar,åsuttonåcoldfield,åweståmilands"," o/s temple bar, sutton coldfield, west milands",
2011,,o/såtheåhairyålemon,o/s the hairy lemon,
2011,,OnåpavementåoutsideåTheåRoyalåHotel,On pavement outside The Royal Hotel,
2011,," OurtsideåRoyalåPub,åLichfieldåRoad,åSuttonåColdfield"," Ourtside Royal Pub, Lichfield Road, Sutton Coldfield",
2011,," outsideåGlendaleåTower,åLyndhurståEstate"," outside Glendale Tower, Lyndhurst Estate",
2011,," OutsideåLittenåTreeåpub,åBirminghamåRoad,åSuttonåColdfield`"," Outside Litten Tree pub, Birmingham Road, Sutton Coldfield`",
2011,," OutsideåMooåMooåClub,åTownåCentre,åSuttonåColdfield"," Outside Moo Moo Club, Town Centre, Sutton Coldfield",
2011,," OutsideåMooåMooånightåclub,åSouthåParade"," Outside Moo Moo night club, South Parade",
2011,," OutsideåTempleåParade,åLoweråParade"," Outside Temple Parade, Lower Parade",
2011,," OutsideåtheåTempleåBar,åLoweråParade,åSC"," Outside the Temple Bar, Lower Parade, SC",
2011,,PARADEå.åSUTTONåCOLDFIELD,PARADE . SUTTON COLDFIELD,
2011,,paradeåSC,parade SC,
2011,,paradeåsuttonåcoldfield,parade sutton coldfield,
2011,,paradeåsuttonåcoldfield,parade sutton coldfield,
2011,,PARADEåSUTTONåCOLDFIELD,PARADE SUTTON COLDFIELD,
2011,,paradeåsuttonåtown,parade sutton town,
2011,," Parade,åSuttonåColdfield"," Parade, Sutton Coldfield",
2011,," Parade,åSuttonåColdfield"," Parade, Sutton Coldfield",
2011,," Parade,åSuttonåTownåCentre"," Parade, Sutton Town Centre",
2011,," ParkestonåCrescent,åKinsgatnding,åB'ham"," Parkeston Crescent, Kinsgatnding, B'ham",
2011,,PLANTSåGROVEåERDINGTON,PLANTS GROVE ERDINGTON,
2011,," PypeåHayesåRoad,åPypeåHayes,åB'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," PypeåHayesåRoad,åPypeåHayes,åB'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," PypeåHayesåRoad,åPypeåHayes,åB'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,,queenåstreet,queen street,
2011,,queenåstreet,queen street,
2011,,queenåstreet,queen street,
2011,,queenåstreet,queen street,
2011,,QueenåStreetåSuttonåColdfieldåTownåcentre,Queen Street Sutton Coldfield Town centre,
2011,,QueslettåRoadåEast,Queslett Road East,
2011,,REDACREåRDåBOLDMERE,REDACRE RD BOLDMERE,
2011,,RESERVOIRåROAD,RESERVOIR ROAD,
2011,,Ridgeway,Ridgeway,
2011,," SladeåRoad,åErdington,åB'ham"," Slade Road, Erdington, B'ham",
2011,," SladeåRoad,åErdington,åB'ham"," Slade Road, Erdington, B'ham",
2011,," Sothåparade,åSuttonåColdfield"," Soth parade, Sutton Coldfield",
2011,," Sothåparade,åSuttonåColdfield"," Soth parade, Sutton Coldfield",
2011,,southåparade,south parade,
2011,,SOUTHåPARADE,SOUTH PARADE,
2011,,SOUTHåPARADE,SOUTH PARADE,
2011,,SouthåParade,South Parade,
2011,,SouthåParade,South Parade,
2011,,SouthåParade,South Parade,
2011,,SouthåParade,South Parade,
2011,,SOUTHåPARADE,SOUTH PARADE,
2011,,SouthåParade,South Parade,
2011,,southåparade,south parade,
2011,,southåparade,south parade,
2011,,SouthåParade,South Parade,
2011,," SouthåParadeåÛåtownåcentre,åSuttonåColdfield"," South Parade Û town centre, Sutton Coldfield",
2011,,SouthåParadeåSuttonåColdfield,South Parade Sutton Coldfield,
2011,,SouthåparadeåSuttonåColdfield,South parade Sutton Coldfield,
2011,,SouthåParadeåSuttonåTownåcentre,South Parade Sutton Town centre,
2011,," SouthåParade,åSuttonåColdfield"," South Parade, Sutton Coldfield",
2011,," SouthåParade,åSuttonåColdfield"," South Parade, Sutton Coldfield",
2011,," Southåparade,åSuttonåColdfield"," South parade, Sutton Coldfield",
